DJI（互联网泡沫）,DJI（经济大萧条）,DJI（87年，可能得省略）,DJI（08年金融危机）,N225（房地产泡沫）,CHL（智利金融危机）,China（中国08年）,HK（9798年东南亚危机）,China（中国15年）
3368.9,101.1,795.13,11253.24,7418.74,377.26,1631.469971,2672.7,2317.070068
3353.1,100.79,810.12,11279.65,7438.8,375.1,1606.23999,2699.6,2328.220947
3376,100.99,803.27,11274.53,7484.71,378.32,1613.604004,2693.5,2315.138916
3398,98.88,808.04,11235.47,7497.36,377.41,1603.077026,2718,2320.910889
3393.8,99.93,814.54,11317.43,7533.22,373.61,1571.713989,2719,2302.5979
3378.7,100.14,812.8,11270.29,7523.72,378.58,1568.692017,2683.6,2291.303955
3386.8,98.37,826.06,11279.97,7534.41,380.68,1541.959961,2703.7,2346.504883
3364.2,98.55,833.59,11250.11,7588.03,379.95,1503.589966,2712.2,2358.977051
3370.4,98.9,836.97,11154.54,7623.81,379.76,1487.146973,2707.6,2382.475098
3398.4,98.45,826.92,11215.7,7674.19,376.82,1537.69104,2689.7,2385.422119
3396.9,96.81,837.32,11150.7,7575.61,374.14,1509.312988,2661.5,2419.02002
3413.2,96.58,844.33,11109.32,7465.3,373.51,1521.44397,2648.2,2428.154053
3396.1,97.12,840.18,11144.94,7440.52,371.46,1521.439941,2671.5,2433.129883
3407,97.67,828.83,11203.85,7495.25,371.55,1521.439941,2684.6,2434.477051
3399.7,98.9,824.41,11239.55,7551.19,373.38,1521.439941,2687.6,2418.530029
3398.7,99.93,829.09,11216.5,7480.24,373.39,1521.439941,2681.9,2432.4021
3404.1,100.34,824.58,11120.04,7390.64,375.1,1521.439941,2737.5,2421.558105
3369.9,100.81,822.07,11141.33,7467.45,374.26,1521.439941,2759.6,2382.914063
3343.2,102.26,822.16,11089.63,7486.84,371.3,1521.439941,2752.9,2397.177979
3351.5,101.55,834.2,11129.97,7451.89,369.52,1531.866943,2759.6,2325.950928
3354.4,101.72,840.7,11137.65,7264.01,369.98,1485.307007,2772.5,2314.164063
3354.9,102.6,846.76,11073.78,7371.27,367.62,1522.92395,2744.9,2325.819092
3329.5,102.76,854.3,11268.77,7487.46,365.8,1555.285034,2753,2293.341064
3287.8,102.6,858.37,11278.77,7541.02,364.87,1554.452026,2740.7,2313.219971
